seed,target,best_epoch,n,accuracy,macro_f1,real_recall,fake_recall,confusion_matrix,elapsed_minutes
42,LIAR test,3,1267,0.6535,0.6408,0.7465,0.5335,"[[533, 181], [258, 295]]",8.9519
42,FakeNewsNet PolitiFact titles,3,1056,0.4631,0.3920,0.1026,0.9838,"[[64, 560], [7, 425]]",8.9519
42,FakeNewsNet GossipCop titles,3,22140,0.2506,0.2097,0.0152,0.9942,"[[256, 16561], [31, 5292]]",8.9519
42,FakeNewsNet combined titles,3,23196,0.2603,0.2179,0.0183,0.9934,"[[320, 17121], [38, 5717]]",8.9519
52,LIAR test,3,1267,0.6606,0.6496,0.7437,0.5533,"[[531, 183], [247, 306]]",8.8095
52,FakeNewsNet PolitiFact titles,3,1056,0.4697,0.4076,0.1234,0.9699,"[[77, 547], [13, 419]]",8.8095
52,FakeNewsNet GossipCop titles,3,22140,0.2584,0.2228,0.0291,0.9829,"[[490, 16327], [91, 5232]]",8.8095
52,FakeNewsNet combined titles,3,23196,0.2681,0.2311,0.0325,0.9819,"[[567, 16874], [104, 5651]]",8.8095
62,LIAR test,2,1267,0.6504,0.6403,0.7255,0.5533,"[[518, 196], [247, 306]]",8.8076
62,FakeNewsNet PolitiFact titles,2,1056,0.4527,0.3741,0.0833,0.9861,"[[52, 572], [6, 426]]",8.8076
62,FakeNewsNet GossipCop titles,2,22140,0.2544,0.2155,0.0209,0.9923,"[[351, 16466], [41, 5282]]",8.8076
62,FakeNewsNet combined titles,2,23196,0.2635,0.2228,0.0231,0.9918,"[[403, 17038], [47, 5708]]",8.8076
72,LIAR test,3,1267,0.6559,0.6401,0.7675,0.5118,"[[548, 166], [270, 283]]",8.8550
72,FakeNewsNet PolitiFact titles,3,1056,0.5369,0.5101,0.2564,0.9421,"[[160, 464], [25, 407]]",8.8550
72,FakeNewsNet GossipCop titles,3,22140,0.2872,0.2644,0.0732,0.9634,"[[1231, 15586], [195, 5128]]",8.8550
72,FakeNewsNet combined titles,3,23196,0.2986,0.2755,0.0798,0.9618,"[[1391, 16050], [220, 5535]]",8.8550
82,LIAR test,3,1267,0.6409,0.6273,0.7381,0.5154,"[[527, 187], [268, 285]]",8.8466
82,FakeNewsNet PolitiFact titles,3,1056,0.4754,0.4139,0.1282,0.9769,"[[80, 544], [10, 422]]",8.8466
82,FakeNewsNet GossipCop titles,3,22140,0.2588,0.2229,0.0288,0.9852,"[[485, 16332], [79, 5244]]",8.8466
82,FakeNewsNet combined titles,3,23196,0.2686,0.2315,0.0324,0.9845,"[[565, 16876], [89, 5666]]",8.8466
