seed,target,best_epoch,n,accuracy,macro_f1,real_recall,fake_recall,confusion_matrix,elapsed_minutes
42,LIAR test,2,1267,0.6456,0.6380,0.7017,0.5732,"[[501, 213], [236, 317]]",8.7581
42,FakeNewsNet PolitiFact titles,2,1056,0.4337,0.3545,0.0705,0.9583,"[[44, 580], [18, 414]]",8.7581
42,FakeNewsNet GossipCop titles,2,22140,0.2696,0.2386,0.0448,0.9797,"[[753, 16064], [108, 5215]]",8.7581
42,FakeNewsNet combined titles,2,23196,0.2770,0.2442,0.0457,0.9781,"[[797, 16644], [126, 5629]]",8.7581
52,LIAR test,2,1267,0.6440,0.6315,0.7353,0.5262,"[[525, 189], [262, 291]]",8.7629
52,FakeNewsNet PolitiFact titles,2,1056,0.5076,0.4715,0.2083,0.9398,"[[130, 494], [26, 406]]",8.7629
52,FakeNewsNet GossipCop titles,2,22140,0.2832,0.2579,0.0649,0.9731,"[[1091, 15726], [143, 5180]]",8.7629
52,FakeNewsNet combined titles,2,23196,0.2935,0.2675,0.0700,0.9706,"[[1221, 16220], [169, 5586]]",8.7629
62,LIAR test,3,1267,0.6314,0.6218,0.7017,0.5407,"[[501, 213], [254, 299]]",8.7424
62,FakeNewsNet PolitiFact titles,3,1056,0.4735,0.4343,0.1779,0.9005,"[[111, 513], [43, 389]]",8.7424
62,FakeNewsNet GossipCop titles,3,22140,0.2929,0.2746,0.0882,0.9397,"[[1483, 15334], [321, 5002]]",8.7424
62,FakeNewsNet combined titles,3,23196,0.3011,0.2819,0.0914,0.9368,"[[1594, 15847], [364, 5391]]",8.7424
72,LIAR test,2,1267,0.6472,0.6439,0.6597,0.6311,"[[471, 243], [204, 349]]",8.7513
72,FakeNewsNet PolitiFact titles,2,1056,0.4545,0.3889,0.1074,0.9560,"[[67, 557], [19, 413]]",8.7513
72,FakeNewsNet GossipCop titles,2,22140,0.2587,0.2222,0.0277,0.9887,"[[465, 16352], [60, 5263]]",8.7513
72,FakeNewsNet combined titles,2,23196,0.2676,0.2298,0.0305,0.9863,"[[532, 16909], [79, 5676]]",8.7513
82,LIAR test,3,1267,0.6377,0.6256,0.7255,0.5244,"[[518, 196], [263, 290]]",8.7472
82,FakeNewsNet PolitiFact titles,3,1056,0.5483,0.5361,0.3269,0.8681,"[[204, 420], [57, 375]]",8.7472
82,FakeNewsNet GossipCop titles,3,22140,0.3175,0.3073,0.1289,0.9134,"[[2168, 14649], [461, 4862]]",8.7472
82,FakeNewsNet combined titles,3,23196,0.3280,0.3176,0.1360,0.9100,"[[2372, 15069], [518, 5237]]",8.7472
